method,train_mse,train_mae,val_mse,val_mae,test_mse,test_mae
Local only (alpha=0),1.747917382500033,0.988887517415222,1.5935929298607125,0.940622655288022,1.4859054970836743,0.8998889467996819
"System A Geographic (alpha=0.0001, k=2)",1.7621184932848537,0.99308377957618,1.5907944476959288,0.9414604824967824,1.488303168280819,0.9031317887323169
"System B Correlation (alpha=0.0001, rho=0.7)",1.7621188124776843,0.9930839332146711,1.5907912936993,0.9414601262575751,1.4882963439376502,0.9031303787564804
